site,sequence,sent_s,rtt_ms
ER_11,27,56.407,18.9294
ER_11,28,58.407,18.9294
ER_12,0,2.444,18.9294
ER_12,1,4.444,18.9294
ER_12,2,6.444,18.9294
ER_12,3,8.444,18.9294
ER_12,4,10.444,18.9294
ER_12,5,12.444,18.9294
ER_12,6,14.444,18.9294
ER_12,7,16.444,18.9294
ER_12,8,18.444,18.9294
ER_12,9,20.444,18.9294
ER_12,10,22.444,18.9294
ER_12,11,24.444,18.9294
ER_12,12,26.444,18.9294
ER_12,13,28.444,18.9294
ER_12,14,30.444,18.9294
ER_12,15,32.444,18.9294
ER_12,16,34.444,18.9294
ER_12,17,36.444,18.9294
ER_12,18,38.444,18.9294
ER_12,19,40.444,18.9294
ER_12,20,42.444,18.9294
ER_12,21,44.444,18.9294
ER_12,22,46.444,18.9294
ER_12,23,48.444,18.9294
ER_12,24,50.444,18.9294
ER_12,25,52.444,18.9294
ER_12,26,54.444,18.9294
ER_12,27,56.444,18.9294
ER_12,28,58.444,18.9294
ER_13,0,2.481,18.9294
ER_13,1,4.481,18.9294
ER_13,2,6.481,18.9294
ER_13,3,8.481,18.9294
ER_13,4,10.481,18.9294
ER_13,5,12.481,18.9294
ER_13,6,14.481,18.9294
ER_13,7,16.481,18.9294
ER_13,8,18.481,18.9294
ER_13,9,20.481,18.9294
ER_13,10,22.481,18.9294
ER_13,11,24.481,18.9294
ER_13,12,26.481,18.9294
ER_13,13,28.481,18.9294
ER_13,14,30.481,18.9294
ER_13,15,32.481,18.9294
ER_13,16,34.481,18.9294
ER_13,17,36.481,18.9294
ER_13,18,38.481,18.9294
ER_13,19,40.481,18.9294
ER_13,20,42.481,18.9294
ER_13,21,44.481,18.9294
ER_13,22,46.481,18.9294
ER_13,23,48.481,18.9294
ER_13,24,50.481,18.9294
ER_13,25,52.481,18.9294
ER_13,26,54.481,18.9294
ER_13,27,56.481,18.9294
ER_13,28,58.481,18.9294
ER_14,0,2.518,18.9294
ER_14,1,4.518,18.9294
ER_14,2,6.518,18.9294
ER_14,3,8.518,18.9294
ER_14,4,10.518,18.9294
ER_14,5,12.518,18.9294
ER_14,6,14.518,18.9294
ER_14,7,16.518,18.9294
ER_14,8,18.518,18.9294
ER_14,9,20.518,18.9294
ER_14,10,22.518,18.9294
ER_14,11,24.518,18.9294
ER_14,12,26.518,18.9294
ER_14,13,28.518,18.9294
ER_14,14,30.518,18.9294
ER_14,15,32.518,18.9294
ER_14,16,34.518,18.9294
ER_14,17,36.518,18.9294
ER_14,18,38.518,18.9294
ER_14,19,40.518,18.9294
ER_14,20,42.518,18.9294
ER_14,21,44.518,18.9294
ER_14,22,46.518,18.9294
ER_14,23,48.518,18.9294
ER_14,24,50.518,18.9294
ER_14,25,52.518,18.9294
ER_14,26,54.518,18.9294
ER_14,27,56.518,18.9294
ER_14,28,58.518,18.9294
ER_15,0,2.555,18.9294
ER_15,1,4.555,18.9294
ER_15,2,6.555,18.9294
ER_15,3,8.555,18.9294
ER_15,4,10.555,18.9294
ER_15,5,12.555,18.9294
ER_15,6,14.555,18.9294
ER_15,7,16.555,18.9294
ER_15,8,18.555,18.9294
ER_15,9,20.555,18.9294
ER_15,10,22.555,18.9294
ER_15,11,24.555,18.9294
ER_15,12,26.555,18.9294
ER_15,13,28.555,18.9294
ER_15,14,30.555,18.9294
ER_15,15,32.555,18.9294
ER_15,16,34.555,18.9294
ER_15,17,36.555,18.9294
ER_15,18,38.555,18.9294
ER_15,19,40.555,18.9294
ER_15,20,42.555,18.9294
ER_15,21,44.555,18.9294
ER_15,22,46.555,18.9294
ER_15,23,48.555,18.9294
ER_15,24,50.555,18.9294
ER_15,25,52.555,18.9294
ER_15,26,54.555,18.9294
ER_15,27,56.555,18.9294
ER_15,28,58.555,18.9294
